time_elapsed_sec,total_timesteps,episodes,fps,ent_coef,learning_rate,ep_len_mean,ep_rew_mean,bankrupt_rate,avg_spread_ticks_mean,back_over_mean,lay_over_mean,over_diff_mean,tto_seconds_mean,liq_back_mean,liq_lay_mean,orders_submitted_mean,fills_mean,action_size_mean,action_clipped_rate,pnl_step_mean,pnl_step_std,pnl_sharpe_step,exposure_total_mean,green_ratio_at_off_mean,green_at_off_rate,tto_at_off_mean,pnl_mtm_at_off_mean,exposure_at_off_mean
3648.085939645767,94000,100,25.766936841714724,nan,nan,106.78,-0.479962102351676,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3687.586676597595,95000,100,25.762106312753335,nan,nan,104.96,-0.4989991667913204,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3727.6654002666473,96000,100,25.753384408679203,nan,nan,104.59,-0.5113349611588978,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3767.517128944397,97000,100,25.7463992014226,nan,nan,104.44,-0.5183161637303371,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3807.5718581676483,98000,100,25.738187918838495,nan,nan,104.62,-0.5122845051118802,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3848.3280992507935,99000,100,25.725457249675173,nan,nan,103.7,-0.4966243115666636,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3888.590829372406,100000,100,25.716256707867455,nan,nan,104.48,-0.5003839483455912,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3929.420550107956,101000,100,25.703535346254846,nan,nan,104.28,-0.5019260992355172,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
3968.8982791900635,102000,100,25.699827212708314,nan,nan,104.54,-0.4990916753291069,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4008.712012529373,103000,100,25.69403830409114,nan,nan,100.05,-0.49842876294620986,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4048.5197381973267,104000,100,25.68840137267252,nan,nan,99.81,-0.5288085230385913,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4088.348469018936,105000,100,25.68274226027421,nan,nan,99.64,-0.5396430435056881,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4127.416206598282,106000,100,25.68192658412869,nan,nan,99.76,-0.5202967797448094,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4167.0289306640625,107000,100,25.67776748863329,nan,nan,98.71,-0.5093269628289415,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4206.493665218353,108000,100,25.674589954337627,nan,nan,97.98,-0.520000351555777,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4245.534397363663,109000,100,25.67403530346743,nan,nan,99.1,-0.5225346085968559,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4284.958132743835,110000,100,25.671195981922573,nan,nan,94.19,-0.49411306629700474,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4324.274861097336,111000,100,25.66904361205024,nan,nan,89.25,-0.5145365206083804,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
4363.154596090317,112000,100,25.669500709500326,nan,nan,91.01,-0.5399963354555939,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,1.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
